# Sector: Converted Sector (archipelago) -- T5 Second Survey (tab-delimited). Lines beginning with # are comments.
#
# COLUMNS: Sector SS Hex Name UWP Bases Remarks Zone PBG Allegiance Stars {Ix} (Ex) [Cx] Nobility W RU
#   SS         Subsector A-P (4x4 grid of 8x10 subsectors)
#   Hex        Column+row (e.g. 0801)
#   UWP        Starport Size Atmo Hydro Pop Gov Law - Tech (eHex: 0-9 A-H J-N P-Z, skips I/O)
#   Bases      N Naval  S Scout  D Depot  W Way  C Corsair  (blank = none)
#   Remarks    Trade classifications (Traveller 5 TCS)
#   Zone       A Amber  R Red  (blank = none)
#   PBG        Population-multiplier, Belts, Gas giants
#   Stars      Spectral + luminosity; companions space-separated (e.g. F2 V M4 V)
#   {Ix}       Importance extension
#   (Ex)       Economic: Resources Labor Infrastructure +-Efficiency
#   [Cx]       Cultural: Homogeneity Acceptance Strangeness Symbols
#   W  Worlds in system    RU  Resource Units (R x L x I x E)
#
Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Converted Sector (archipelago)	O	2331	Leseum	CB8A336-6	P	Oc Lo		203	Na	M4 V	{ -2 }	(820-2)	[2165]		1	-32
Converted Sector (archipelago)	P	3131	Retha	E949888-8		Ph Pi		602	Na	M6 V	{ -2 }	(A74-1)	[D668]		1	-280
Converted Sector (archipelago)	M	0832	Atab Abas	B82A336-A		Wa Lo		112	Na	M6 V	{ 1 }	(620-4)	[2417]		1	-48
Converted Sector (archipelago)	N	0932	Katalio	B667558-B	NSC	Ga Ni Ag Pr		902	Na	M0 V	{ 3 }	(A44-4)	[789A]		1	-640
Converted Sector (archipelago)	O	2132	Agni	D868999-9	S	Hi Pr	A	500	Na	M2 V	{ 0 }	(C85+1)	[D965]		1	480
Converted Sector (archipelago)	O	2332	Hel	D535337-6		Lo		901	Na	K0 V	{ -3 }	(A20+0)	[4148]		1	20
Converted Sector (archipelago)	O	2432	Serieve	B3A3336-B	N	Fl Lo	A	601	Na	F2 V	{ 1 }	(720+0)	[648B]		1	14
Converted Sector (archipelago)	N	0933	Korvel	E555377-6		Lo	A	612	Na	M4 II	{ -3 }	(820-1)	[5157]		1	-16
Converted Sector (archipelago)	N	1633	Shora	B76A155-B	SC	Wa Lo Co		802	Na	M4 V	{ 1 }	(800-3)	[127A]		1	-24
Converted Sector (archipelago)	O	1733	Tupile	D669233-8		Lo		812	Na	M2 V	{ -3 }	(810+2)	[1167]		1	16
Converted Sector (archipelago)	O	2133	Toog	B7A5888-B	C	Fl Ph Ho	A	603	Na	M4 V	{ 2 }	(575+1)	[9A68]		1	175
Converted Sector (archipelago)	O	2233	Hurmuptha	C5356BD-7		Ni	A	811	Na	M2 V	{ -2 }	(453-3)	[945A]		1	-180
Converted Sector (archipelago)	M	0834	Bergerac	C160222-9		De Lo		903	Na	K2 V	{ -1 }	(810-3)	[2148]		1	-24
Converted Sector (archipelago)	O	2034	Intinogurzibeshilaha	D818344-8	S	Ic Lo		501	Na	M6 V	{ -3 }	(720+1)	[2158]		1	14
Converted Sector (archipelago)	O	2334	Umber	D66A666-6		Wa Ni Ri		501	Na	M4 V	{ -2 }	(956-1)	[4493]		1	-270
Converted Sector (archipelago)	M	0635	Poowadya	B474223-7	SC	Lo Co		500	Na	M2 III	{ -1 }	(710-1)	[3169]		1	-7
Converted Sector (archipelago)	M	0735	Saudade	E666555-6		Ga Ni Ag Pr		600	Na	F2 V	{ -2 }	(545+3)	[7314]		1	300
Converted Sector (archipelago)	N	1535	Heinlein	C879778-7	P	Pi	A	712	Na	M4 II	{ -1 }	(C65+1)	[7633]		1	360
Converted Sector (archipelago)	O	2035	Wega	X967222-2		Lo Lt Ho Tr		301	Na	M2 V	{ -3 }	(810+1)	[2123]		1	8
Converted Sector (archipelago)	N	1036	Shadow	C515238-8	P	Ic Lo		613	Na	G0 V	{ -2 }	(F10+4)	[1139]		1	60
Converted Sector (archipelago)	N	1436	Boondock	E636112-5		Lo Lt		602	Na	G0 V	{ -3 }	(700-1)	[1138]		1	-7
Converted Sector (archipelago)	O	1736	Peekaboo	C293389-8		Lo Ho	A	900	Na	M0 V	{ -2 }	(920-1)	[4149]		1	-18
Converted Sector (archipelago)	P	2536	San-Ska-Re	D470566-5	S	De He Ni Lt		800	Na	M0 V	{ -3 }	(746+5)	[4271]		1	840
Converted Sector (archipelago)	P	2636	Kiluwa	D61699D-9		Ic Hi In	A	410	Na	F5 V	{ 1 }	(98C+1)	[CA7C]		1	864
Converted Sector (archipelago)	P	2736	Persephone	C434555-7		Ni Co		800	Na	M6 V	{ -2 }	(841+4)	[5356]		1	128
Converted Sector (archipelago)	P	2936	Nomolos	C848000-0	C	Lt	A	001	Na	M4 II	{ -2 }	(404+0)	[1141]		1	16
Converted Sector (archipelago)	P	3036	Mito	E727669-6		Ni	A	102	Na	M0 V	{ -3 }	(951-2)	[7345]		1	-90
Converted Sector (archipelago)	M	0837	Fendi	E661255-5		Lo Lt		601	Na	M0 V	{ -3 }	(510+2)	[1133]		1	10
Converted Sector (archipelago)	N	1037	Felis	D95A334-9		Wa Lo Co		600	Na	M6 V	{ -2 }	(620+0)	[5116]		1	12
Converted Sector (archipelago)	O	2437	Atlast	C525566-7	C	Ni		410	Na	M6 V	{ -2 }	(A46-1)	[2349]		1	-240
Converted Sector (archipelago)	P	2537	Bathyos	E648559-5		Ni Ag Lt	A	300	Na	M4 V	{ -2 }	(845-3)	[6344]		1	-480
Converted Sector (archipelago)	P	2737	Mela Five	D526114-5	S	Lo Lt		410	Na	F0 V	{ -3 }	(600-3)	[3181]		1	-18
Converted Sector (archipelago)	P	2837	Metaluna	C87A456-A	SC	Wa Ni		500	Na	G5 IV	{ 0 }	(533+0)	[445B]		1	45
Converted Sector (archipelago)	P	3137	Nomolos	C497225-8	SP	Lo		113	Na	M6 V	{ -2 }	(A10+0)	[5149]		1	10
Converted Sector (archipelago)	P	3237	Wallach-Eli	EB2A145-7		Oc Lo		803	Na	M4 V	{ -3 }	(600-2)	[1169]		1	-12
Converted Sector (archipelago)	M	0138	Veridani	B457444-8	C	Ni Pa		802	Na	M4 V	{ -1 }	(936-4)	[6399]		1	-648
Converted Sector (archipelago)	M	0238	Lea	D777666-6		Ni Ag		100	Na	M2 V	{ -2 }	(755+0)	[8485]		1	175
Converted Sector (archipelago)	N	1438	Aquitar	D739333-7	S	Lo		820	Na	M0 V	{ -3 }	(B20+5)	[3145]		1	110
Converted Sector (archipelago)	O	1838	Bortresoye	E949556-5		Ni Lt		402	Na	F5 IV	{ -3 }	(741+0)	[1276]		1	28
Converted Sector (archipelago)	P	2638	Bel	BB28555-9	S	Ni Ho		510	Na	M6 V	{ 0 }	(A45+0)	[7564]		1	200
Converted Sector (archipelago)	P	2938	Euterpe	X2626AA-6		Ni Ri	A	110	Na	M0 V	{ -2 }	(B55+0)	[9436]		1	275
Converted Sector (archipelago)	M	0439	Bandicoot	D252667-6		Ni Po		702	Na	M0 V	{ -3 }	(654+0)	[4386]		1	120
Converted Sector (archipelago)	M	0739	Porcelo	EA3A225-9		Oc Lo		701	Na	F0 III	{ -2 }	(910-1)	[1146]		1	-9
Converted Sector (archipelago)	N	1039	Axista	D262466-4	S	Ni Lt		501	Na	M6 V	{ -3 }	(836+2)	[3139]		1	288
Converted Sector (archipelago)	N	1639	Karesitio	E679789-7		Pi	A	600	Na	M6 V	{ -2 }	(465-3)	[7529]		1	-360
Converted Sector (archipelago)	P	2839	Yugopotamia	A75779A-8	NC	Ga Ag	A	801	Na	M4 V	{ 1 }	(56B-4)	[5878]		1	-1320
Converted Sector (archipelago)	M	0440	Ament Cour	AA7A9DD-B		Oc Hi In	A	610	Na	K0 IV	{ 4 }	(78B+3)	[9D27]		1	1848
Converted Sector (archipelago)	M	0740	Caliban	C222888-8	S	Ph Na Pi Po		200	Na	M4 V	{ -1 }	(573+3)	[9787]		1	315
Converted Sector (archipelago)	N	1340	Stombos	C95A122-7	S	Wa Lo		601	Na	F2 V	{ -2 }	(700-3)	[1157]		1	-21
Converted Sector (archipelago)	N	1540	Ardamador	C76AAAA-A	SC	Wa Hi	A	311	Na	F0 V	{ 2 }	(E96-1)	[CC37]		1	-756
Converted Sector (archipelago)	O	2140	Copa	C755737-9	C	Ga Ag		600	Na	M4 V DB	{ 1 }	(669-2)	[7847]		1	-648
Converted Sector (archipelago)	P	3040	Hurria	E491666-8		He Ni		511	Na	G0 V	{ -3 }	(B51-1)	[639B]		1	-55
